ID	MRNA_A	MRNA_B	MRNA_C	MRNA_D	A	B	C	D
A1BG	101	104	84	66	46	28	73	30
A1BG-AS1	11	11	9	12	0	0	0	0
A1CF	16	8	4	7	0	1	0	0
A2M	0	7	5	2	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0
A2ML1	9	11	10	9	0	0	1	0
A2MP1	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	11	5	8	11
A4GNT	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0
AAAS	8	9	7	6	995	1035	1425	1809
AACS	11	8	8	6	480	526	752	887
AACSP1	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0
AADAT	7	11	6	7	132	160	249	344
AAED1	1	2	2	1	247	203	374	337
AAGAB	16	23	14	20	674	681	984	1379
AAK1	73	57	42	57	783	737	960	1139
AAMDC	8	16	9	5	119	69	174	134
AAMP	16	24	16	29	2143	2193	2774	2576
AANAT	0	0	0	0	0	0	2	0
AAR2	4	4	0	3	838	714	1100	1114
AARD	16	18	20	10	16	14	29	10
AARS	56	103	63	47	5319	4898	8054	8162
AARS2	28	32	27	18	183	294	254	556
AARSD1	0	0	0	0	2	4	4	5
AASDH	4	6	2	6	106	87	148	317
AASDHPPT	1	3	2	3	908	964	1308	1644
AASS	15	18	11	20	93	291	144	681
AATBC	9	9	10	9	0	0	0	0
AATF	76	113	55	76	1369	980	1973	1710
AATK	1	0	1	1	2	0	0	0
AATK-AS1	0	2	0	0	0	0	0	0
ABALON	4135	4149	3839	3703	0	0	0	0
ABAT	0	3	0	0	6	4	13	3
ABCA1	1	0	1	0	13	2	7	16
ABCA10	0	0	0	0	1	2	1	2
ABCA11P	0	0	0	0	0	0	0	0
ABCA12	2	1	1	0	2	1	7	2
ABCA13	7	5	4	8	43	49	87	176
ABCA17P	1	1	1	0	0	0	0	0
ABCA2	2	4	2	1	517	513	653	795
ABCA3	0	1	1	2	1	0	6	1
ABCA4	0	0	0	0	1	0	0	0
ABCA5	8	3	7	3	12	6	20	40
ABCA6	0	0	0	0	0	0	4	0
ABCA7	0	0	0	0	100	96	110	136
ABCA8	0	0	1	0	7	1	7	5
ABCA9	16	24	11	14	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0
ABCB1	1	2	0	1	161	175	294	463
ABCB10	1	0	0	1	160	267	260	437
ABCB11	0	0	0	0	0	0	0	0
ABCB4	6	6	1	2	310	233	419	603
ABCB5	21	15	9	11	2	0	4	0
ABCB6	3	4	1	3	467	355	497	617
ABCB7	3	5	3	0	474	639	717	1078
ABCB8	6	2	0	2	186	203	207	272
ABCB9	3	0	3	2	1625	1090	1821	1797
ABCC1	4	4	2	6	789	909	1329	1843
ABCC10	6	8	9	7	260	327	365	415
ABCC11	0	0	0	0	0	0	1	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	6	5	3	4	0	0	0	0
ABCC2	2	1	0	0	3	0	3	13
ABCC3	0	0	0	0	8	14	9	6
ABCC4	2	2	3	7	569	578	846	1266
ABCC5	3	7	6	6	234	291	295	411
ABCC5-AS1	3	1	1	1	0	0	0	0
ABCC6	6	7	6	6	2	1	0	3
ABCC6P1	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0
ABCC9	280	198	192	189	38	27	95	106
ABCD1	4	1	2	1	107	56	124	88
ABCD2	0	0	0	0	3	4	3	18
ABCD3	9	8	7	4	769	745	1078	1419
ABCD4	7	8	7	9	326	277	408	501
ABCE1	25	36	18	30	2192	3260	3395	4982
ABCF1	74	91	28	65	2285	2302	3047	3467
ABCF2	8	8	11	10	897	1000	1160	1531
ABCF3	10	6	9	9	946	724	1145	1096
ABCG1	2	2	1	2	0	0	0	0
ABCG2	0	0	1	0	111	83	167	201
ABCG4	0	0	0	0	0	0	1	0
ABCG5	0	0	0	0	0	0	0	0
ABCG8	0	0	1	0	0	0	0	0
ABHD1	144	145	162	175	0	0	0	0
ABHD10	1	3	1	3	534	470	827	867
ABHD11	15	11	10	9	259	184	425	334
ABHD11-AS1	1	0	1	0	0	0	0	0
ABHD12	34	53	23	21	326	256	543	543
ABHD12B	29	35	33	44	0	0	0	0
ABHD13	4	2	0	0	129	138	227	267
ABHD14A	13	22	5	13	158	107	216	260
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	4	4	3	2	393	296	362	404
ABHD15	10	5	1	7	37	36	53	90
ABHD16A	39	67	5	13	387	284	506	533
ABHD16B	327	309	293	268	1	0	0	2
ABHD17A	10	5	9	6	59	44	103	124
ABHD17B	9	8	8	11	335	278	439	420
ABHD17C	0	0	1	0	117	197	135	118
ABHD2	169	177	129	142	2244	2116	2425	2979
ABHD3	1	0	0	1	115	110	167	214
ABHD4	1	1	3	1	152	80	265	242
ABHD5	1	1	3	2	236	201	439	372
ABHD6	0	1	0	0	200	136	274	250
ABHD8	71	119	94	84	120	117	166	172
ABI1	180	84	130	118	912	690	1251	1360
ABI2	141	120	90	97	413	402	714	656
ABI3	1	1	0	0	1	0	1	1
ABI3BP	16	8	8	11	14	32	2	9
ABL1	21	39	33	37	1342	872	1875	1592
ABL2	51	42	28	39	475	410	602	879
ABLIM1	0	5	2	1	50	36	67	54
