	A	B	C	D
A1BG	101	104	84	66
A1BG-AS1	11	11	9	12
A1CF	16	8	4	7
A2M	0	7	5	2
A2M-AS1	0	0	0	0
A2ML1	9	11	10	9
A2MP1	0	0	0	0
A3GALT2	0	0	0	0
A4GALT	0	0	0	0
A4GNT	0	0	0	0
AA06	0	0	0	0
AAAS	8	9	7	6
AACS	11	8	8	6
AACSP1	0	0	0	0
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	0	0
AADAT	7	11	6	7
AAED1	1	2	2	1
AAGAB	16	23	14	20
AAK1	73	57	42	57
AAMDC	8	16	9	5
AAMP	16	24	16	29
AANAT	0	0	0	0
AAR2	4	4	0	3
AARD	16	18	20	10
AARS	56	103	63	47
AARS2	28	32	27	18
AARSD1	0	0	0	0
AASDH	4	6	2	6
AASDHPPT	1	3	2	3
AASS	15	18	11	20
AATBC	9	9	10	9
AATF	76	113	55	76
AATK	1	0	1	1
AATK-AS1	0	2	0	0
ABALON	4135	4149	3839	3703
ABAT	0	3	0	0
ABCA1	1	0	1	0
ABCA10	0	0	0	0
ABCA11P	0	0	0	0
ABCA12	2	1	1	0
ABCA13	7	5	4	8
ABCA17P	1	1	1	0
ABCA2	2	4	2	1
ABCA3	0	1	1	2
ABCA4	0	0	0	0
ABCA5	8	3	7	3
ABCA6	0	0	0	0
ABCA7	0	0	0	0
ABCA8	0	0	1	0
ABCA9	16	24	11	14
ABCA9-AS1	0	0	0	0
ABCB1	1	2	0	1
ABCB10	1	0	0	1
ABCB11	0	0	0	0
ABCB4	6	6	1	2
ABCB5	21	15	9	11
ABCB6	3	4	1	3
ABCB7	3	5	3	0
ABCB8	6	2	0	2
ABCB9	3	0	3	2
ABCC1	4	4	2	6
ABCC10	6	8	9	7
ABCC11	0	0	0	0
ABCC12	0	0	0	0
ABCC13	6	5	3	4
ABCC2	2	1	0	0
ABCC3	0	0	0	0
ABCC4	2	2	3	7
ABCC5	3	7	6	6
ABCC5-AS1	3	1	1	1
ABCC6	6	7	6	6
ABCC6P1	0	0	0	0
ABCC6P2	0	0	0	0
ABCC8	0	0	0	0
ABCC9	280	198	192	189
ABCD1	4	1	2	1
ABCD2	0	0	0	0
ABCD3	9	8	7	4
ABCD4	7	8	7	9
ABCE1	25	36	18	30
ABCF1	74	91	28	65
ABCF2	8	8	11	10
ABCF3	10	6	9	9
ABCG1	2	2	1	2
ABCG2	0	0	1	0
ABCG4	0	0	0	0
ABCG5	0	0	0	0
ABCG8	0	0	1	0
ABHD1	144	145	162	175
ABHD10	1	3	1	3
ABHD11	15	11	10	9
ABHD11-AS1	1	0	1	0
ABHD12	34	53	23	21
ABHD12B	29	35	33	44
ABHD13	4	2	0	0
ABHD14A	13	22	5	13
ABHD14A-ACY1	0	0	0	0
ABHD14B	4	4	3	2
ABHD15	10	5	1	7
ABHD16A	39	67	5	13
ABHD16B	327	309	293	268
ABHD17A	10	5	9	6
