	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
A1BG	69	27	43	23	25	45	76	30
AAAS	722	511	458	426	252	400	409	492
AACS	54	131	47	74	83	69	53	44
AAED1	47	39	110	56	110	73	106	53
AAGAB	206	223	174	174	194	207	235	133
AAMP	1089	532	497	583	423	498	476	444
AAR2	262	178	194	123	116	108	142	160
AARS	2477	4519	4116	1448	4407	2604	2312	1126
AARS2	142	117	130	129	98	140	161	138
AASDH	68	69	87	48	79	68	93	56
AASDHPPT	370	273	291	228	263	233	268	181
AATF	666	615	561	486	550	574	655	499
ABAT	84	20	59	29	45	45	43	21
ABCA5	55	66	102	67	168	80	100	56
ABCA6	400	83	528	148	154	131	216	454
ABCA7	119	77	179	123	106	79	93	260
ABCB10	578	401	639	379	104	412	937	1072
ABCB6	31	38	37	67	51	59	57	80
ABCB7	313	280	228	181	300	319	319	103
ABCB8	94	67	80	103	87	94	96	133
ABCC1	974	1244	1171	704	669	869	907	1035
ABCC10	136	70	176	108	87	113	135	185
ABCC4	327	276	307	278	334	393	547	190
ABCC5	34	35	71	86	93	82	56	67
ABCD2	220	151	150	131	77	126	157	119
ABCD3	173	164	152	119	195	87	101	80
ABCD4	89	81	117	130	126	156	160	138
ABCE1	530	814	402	555	492	594	514	372
ABCF1	1627	924	1181	1023	781	1194	1328	1149
ABCF2	634	570	425	458	370	667	767	337
ABCF3	422	257	301	295	287	259	277	271
ABCG1	84	282	164	91	188	131	68	70
ABHD10	124	147	114	69	132	98	46	70
ABHD12	68	69	63	88	74	60	71	87
ABHD14B	200	100	223	91	121	123	154	161
ABHD15	62	45	68	48	52	53	45	71
ABHD16A	118	113	127	126	120	115	130	133
ABHD17B	98	66	97	102	156	48	33	73
ABHD17C	30	41	33	63	38	46	54	75
ABHD2	434	259	374	445	305	299	269	380
ABHD3	136	130	107	88	110	59	67	77
ABHD4	106	271	146	207	175	85	101	236
ABHD5	26	41	25	35	33	31	50	34
ABHD6	35	95	48	34	101	25	59	20
ABHD8	39	30	32	33	34	43	56	33
ABI1	1069	871	1217	695	988	847	1020	815
ABI2	25	20	63	45	86	81	89	57
ABL1	86	68	102	141	237	63	97	121
ABL2	77	137	83	95	122	77	86	81
ABLIM1	136	78	279	153	178	156	158	424
ABR	670	504	567	414	484	308	321	490
