	A	B	C	D
A1BG	46	28	73	30
A1BG-AS1	0	0	0	0
A1CF	0	1	0	0
A2M	0	0	0	0
A2M-AS1	0	0	0	0
A2ML1	0	0	1	0
A2MP1	0	0	0	0
A3GALT2	0	0	0	0
A4GALT	11	5	8	11
A4GNT	0	0	0	0
AA06	0	0	0	0
AAAS	995	1035	1425	1809
AACS	480	526	752	887
AACSP1	0	0	0	0
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	0	0
AADAT	132	160	249	344
AAED1	247	203	374	337
AAGAB	674	681	984	1379
AAK1	783	737	960	1139
AAMDC	119	69	174	134
AAMP	2143	2193	2774	2576
AANAT	0	0	2	0
AAR2	838	714	1100	1114
AARD	16	14	29	10
AARS	5319	4898	8054	8162
AARS2	183	294	254	556
AARSD1	2	4	4	5
AASDH	106	87	148	317
AASDHPPT	908	964	1308	1644
AASS	93	291	144	681
AATBC	0	0	0	0
AATF	1369	980	1973	1710
AATK	2	0	0	0
AATK-AS1	0	0	0	0
ABALON	0	0	0	0
ABAT	6	4	13	3
ABCA1	13	2	7	16
ABCA10	1	2	1	2
ABCA11P	0	0	0	0
ABCA12	2	1	7	2
ABCA13	43	49	87	176
ABCA17P	0	0	0	0
ABCA2	517	513	653	795
ABCA3	1	0	6	1
ABCA4	1	0	0	0
ABCA5	12	6	20	40
ABCA6	0	0	4	0
ABCA7	100	96	110	136
ABCA8	7	1	7	5
ABCA9	0	0	0	0
ABCA9-AS1	0	0	0	0
ABCB1	161	175	294	463
ABCB10	160	267	260	437
ABCB11	0	0	0	0
ABCB4	310	233	419	603
ABCB5	2	0	4	0
ABCB6	467	355	497	617
ABCB7	474	639	717	1078
ABCB8	186	203	207	272
ABCB9	1625	1090	1821	1797
ABCC1	789	909	1329	1843
ABCC10	260	327	365	415
ABCC11	0	0	1	0
ABCC12	0	0	0	0
ABCC13	0	0	0	0
ABCC2	3	0	3	13
ABCC3	8	14	9	6
ABCC4	569	578	846	1266
ABCC5	234	291	295	411
ABCC5-AS1	0	0	0	0
ABCC6	2	1	0	3
ABCC6P1	0	0	0	0
ABCC6P2	0	0	0	0
ABCC8	0	0	0	0
ABCC9	38	27	95	106
ABCD1	107	56	124	88
ABCD2	3	4	3	18
ABCD3	769	745	1078	1419
ABCD4	326	277	408	501
ABCE1	2192	3260	3395	4982
ABCF1	2285	2302	3047	3467
ABCF2	897	1000	1160	1531
ABCF3	946	724	1145	1096
ABCG1	0	0	0	0
ABCG2	111	83	167	201
ABCG4	0	0	1	0
ABCG5	0	0	0	0
ABCG8	0	0	0	0
ABHD1	0	0	0	0
ABHD10	534	470	827	867
ABHD11	259	184	425	334
ABHD11-AS1	0	0	0	0
ABHD12	326	256	543	543
ABHD12B	0	0	0	0
ABHD13	129	138	227	267
ABHD14A	158	107	216	260
ABHD14A-ACY1	0	0	0	0
ABHD14B	393	296	362	404
ABHD15	37	36	53	90
ABHD16A	387	284	506	533
ABHD16B	1	0	0	2
ABHD17A	59	44	103	124
ABHD17B	335	278	439	420
ABHD17C	117	197	135	118
ABHD2	2244	2116	2425	2979
ABHD3	115	110	167	214
ABHD4	152	80	265	242
ABHD5	236	201	439	372
ABHD6	200	136	274	250
ABHD8	120	117	166	172
ABI1	912	690	1251	1360
ABI2	413	402	714	656
ABI3	1	0	1	1
ABI3BP	14	32	2	9
ABL1	1342	872	1875	1592
ABL2	475	410	602	879
ABLIM1	50	36	67	54
ABLIM2	0	0	0	0
ABLIM3	157	104	325	329
ABO	0	0	0	0
ABR	1491	833	2185	1641
ABRA	0	0	0	0
ABRACL	363	334	592	617
ABT1	400	328	575	379
ABTB1	199	207	238	244
ABTB2	354	317	468	673
ACAA1	626	526	870	915
ACAA2	528	622	783	772
ACACA	1373	2011	2290	3711
ACACB	31	15	30	45
ACAD10	98	138	133	224
ACAD11	199	238	276	389
ACAD8	232	265	318	459
ACAD9	927	1023	1476	1605
ACADL	58	22	84	62
ACADM	946	1053	1427	1589
ACADS	213	209	273	219
ACADSB	351	347	485	616
ACADVL	2823	2162	3514	3516
ACAN	0	8	1	7
ACAP1	8	10	10	6
ACAP2	1107	1225	1597	1927
ACAP3	273	171	357	396
ACAT1	1488	1925	2087	2912
ACAT2	1699	1800	3600	4711
ACBD3	710	787	926	963
ACBD4	59	33	64	54
ACBD5	537	400	641	584
ACBD6	150	138	202	187
ACBD7	9	13	18	4
ACCS	39	35	71	90
ACCSL	0	0	0	0
ACD	1249	998	1703	1721
ACE	1	0	1	0
ACE2	0	0	0	0
ACER1	0	0	0	0
ACER2	9	19	6	10
ACER3	154	148	302	295
ACHE	3	3	4	4
ACIN1	2176	1828	3210	3265
ACKR1	0	1	0	0
ACKR2	0	0	0	0
ACKR3	6	1	8	2
ACKR4	1	0	1	0
ACLY	7977	8654	11673	15084
ACMSD	0	0	3	4
ACO1	781	851	1108	1201
ACO2	828	871	1076	1750
ACOT1	366	261	402	415
ACOT11	11	1	11	6
ACOT12	0	0	0	0
ACOT13	115	65	231	212
ACOT2	596	416	741	679
ACOT4	17	13	15	20
ACOT6	0	0	0	0
ACOT7	2492	1851	3353	2931
ACOT8	315	218	425	525
ACOT9	922	679	1236	1275
ACOX1	709	577	937	1000
ACOX2	419	381	647	763
ACOX3	382	324	527	485
ACOXL	0	0	0	0
ACP1	744	652	1135	1045
ACP2	352	376	564	536
ACP5	81	78	128	105
ACP6	155	154	227	231
ACPP	1	0	0	0
ACPT	1	0	0	0
ACR	0	0	0	0
ACRBP	0	0	0	0
ACRC	3	4	3	11
ACRV1	2	0	0	4
ACSBG1	0	0	1	2
ACSBG2	0	0	0	0
ACSF2	209	193	272	333
ACSF3	304	254	409	391
ACSL1	745	569	878	949
ACSL3	3083	3115	5640	7480
ACSL4	2614	3112	4183	5088
ACSL5	15	16	23	21
ACSL6	2	0	5	14
ACSM1	0	0	0	0
ACSM2A	0	0	0	0
ACSM2B	0	0	0	0
ACSM3	4	8	2	0
ACSM4	0	0	1	0
ACSM5	0	0	0	0
ACSM6	0	0	0	0
ACSS1	217	187	309	274
ACSS2	213	238	389	399
ACSS3	66	62	129	124
ACTA1	1169	539	1741	1062
ACTA2	67	45	116	154
ACTA2-AS1	0	0	0	0
ACTB	114933	99502	167016	189187
ACTBL2	10	4	15	4
ACTC1	43	32	96	46
ACTG1	73069	54177	108194	104045
ACTG1P17	0	0	0	0
ACTG1P20	0	0	0	0
ACTG1P4	0	0	0	0
ACTG2	48	22	101	41
ACTL10	46	29	44	63
ACTL6A	1945	2124	3046	3749
ACTL6B	0	0	0	0
ACTL7A	0	0	0	0
ACTL7B	0	0	1	0
ACTL8	4	5	5	11
ACTL9	0	0	0	0
ACTN1	12061	10944	17831	18724
ACTN1-AS1	0	0	0	0
ACTN2	27	56	52	100
ACTN3	96	528	145	791
ACTN4	25013	20952	32697	31109
ACTR10	1054	994	1543	1647
ACTR1A	3047	2590	4327	4415
ACTR1B	647	682	938	947
ACTR2	6730	6336	9855	11179
ACTR3	4503	3817	6797	7769
ACTR3B	23	42	20	36
ACTR3BP2	0	0	0	0
ACTR3BP5	0	0	0	0
ACTR3C	6	12	3	4
ACTR5	223	240	348	500
ACTR6	483	482	716	837
ACTR8	691	559	993	994
ACTRT1	0	0	0	0
ACTRT2	0	0	0	0
ACTRT3	44	65	53	79
ACVR1	626	514	753	854
ACVR1B	124	127	185	192
ACVR1C	5	2	3	5
ACVR2A	196	200	257	325
ACVR2B	32	16	95	86
ACVR2B-AS1	0	0	0	0
ACVRL1	7	0	6	5
ACY1	832	602	1023	794
ACY3	1	2	3	5
ACYP1	80	45	99	101
ACYP2	30	20	48	35
ADA	89	89	97	95
ADAD1	0	0	0	0
ADAD2	0	0	1	0
ADAL	48	68	87	96
ADAM10	1489	1575	2277	3061
ADAM11	5	0	4	4
ADAM12	368	328	689	813
ADAM15	732	710	956	1005
ADAM17	915	1009	1286	1851
ADAM18	0	0	0	0
ADAM19	372	379	609	763
ADAM1A	0	0	0	0
ADAM2	0	0	0	0
ADAM20	0	0	0	0
ADAM20P1	0	0	0	0
ADAM21	9	10	13	6
ADAM21P1	0	0	0	0
ADAM22	50	27	78	137
ADAM23	24	32	33	52
ADAM28	0	0	0	0
ADAM29	0	0	0	0
ADAM30	0	0	0	0
ADAM32	1	4	1	1
ADAM33	0	0	0	0
ADAM3A	0	0	0	0
ADAM5	0	0	0	0
ADAM6	0	0	0	0
ADAM7	0	0	0	0
ADAM8	5	17	2	34
ADAM9	1912	1723	3132	3910
ADAMDEC1	0	0	0	0
ADAMTS1	236	329	388	593
ADAMTS10	0	0	0	0
ADAMTS12	102	115	176	227
ADAMTS13	0	0	0	0
ADAMTS14	10	3	9	19
ADAMTS15	12	6	29	49
ADAMTS16	108	96	165	253
ADAMTS17	0	0	5	0
ADAMTS18	0	0	0	0
ADAMTS19	2	0	3	3
ADAMTS19-AS1	0	0	0	0
ADAMTS2	69	17	159	108
ADAMTS20	0	0	0	0
ADAMTS3	21	31	46	64
ADAMTS4	802	761	1332	1572
ADAMTS5	3	4	13	10
ADAMTS6	80	79	132	183
ADAMTS7	95	106	150	123
ADAMTS7P1	0	0	0	0
ADAMTS8	1	1	0	5
ADAMTS9	31	28	77	44
ADAMTS9-AS1	0	0	0	0
ADAMTS9-AS2	0	0	0	0
ADAMTSL1	836	1236	1251	1897
ADAMTSL2	0	0	0	0
ADAMTSL3	0	0	0	0
ADAMTSL4	3	9	15	8
ADAMTSL4-AS1	0	0	0	0
ADAMTSL5	5	2	13	15
ADAP1	8	0	7	1
ADAP2	0	0	0	0
ADAR	2605	2460	3605	4113
ADARB1	134	48	200	146
ADARB2	0	0	0	0
ADARB2-AS1	0	0	0	0
ADAT1	213	223	341	358
ADAT2	32	23	50	40
ADAT3	58	68	103	126
ADCK1	39	41	80	61
ADCK2	151	74	191	113
ADCK3	327	281	422	386
ADCK4	422	320	558	599
ADCK5	67	112	76	102
ADCY1	1	0	4	1
ADCY10	0	0	0	0
ADCY10P1	0	0	0	0
ADCY2	0	0	0	0
ADCY3	273	231	414	632
ADCY4	0	1	0	0
ADCY5	2	0	1	0
ADCY6	493	327	574	553
ADCY7	287	260	560	703
ADCY8	1	0	0	0
ADCY9	79	46	182	140
ADCYAP1	0	0	0	0
ADCYAP1R1	0	0	11	11
ADD1	1810	1489	2705	2903
ADD2	899	708	1315	1164
ADD3	290	242	545	595
ADD3-AS1	0	0	0	0
ADGB	0	0	1	0
ADGRA1	1	0	0	0
ADGRA1-AS1	0	0	0	0
ADGRA2	74	58	154	158
ADGRA3	173	234	382	460
ADGRB1	0	0	0	1
ADGRB2	14	22	63	47
ADGRB3	5	8	14	12
ADGRD1	0	2	1	0
ADGRE1	184	157	218	234
ADGRE2	181	171	241	298
ADGRE3	0	0	0	0
ADGRE4P	0	0	0	0
ADGRE5	1186	1475	1775	2352
ADGRF1	1	0	0	0
ADGRF2	0	0	0	0
ADGRF3	6	15	9	8
ADGRF4	0	0	0	0
ADGRF5	3	2	4	0
ADGRG1	2715	2407	3434	3749
ADGRG2	0	0	2	0
ADGRG3	2	0	0	0
ADGRG4	0	0	0	0
ADGRG5	0	0	0	0
ADGRG6	58	35	111	162
ADGRG7	0	0	0	0
ADGRL1	62	40	142	137
ADGRL2	201	178	238	244
ADGRL3	53	34	122	92
ADGRL3-AS1	0	0	0	0
ADGRL4	386	569	633	915
ADGRV1	29	40	44	106
ADH1A	0	0	0	0
ADH1B	0	0	0	0
ADH1C	0	1	2	0
ADH4	0	0	0	0
ADH5	2818	2423	4391	5161
ADH6	0	0	0	0
ADH7	0	0	0	0
ADHFE1	1	0	4	0
ADI1	653	482	1033	730
ADIG	0	0	0	0
ADIPOQ	0	1	0	0
ADIPOQ-AS1	0	0	0	0
ADIPOR1	780	486	1124	744
ADIPOR2	566	466	867	763
ADIRF	0	0	2	8
ADK	1293	1341	1811	2172
ADM	571	433	675	882
ADM2	0	0	0	0
ADM5	1	1	0	7
ADNP	1441	1209	2031	2265
ADNP-AS1	0	0	0	0
ADNP2	551	579	731	997
ADO	607	576	638	694
ADORA1	53	27	93	80
ADORA2A	0	0	1	0
