	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
A1BG	120	61	163	139	94	114	139	56
AAAS	1209	1147	1591	2513	1180	1864	2029	1708
AACS	308	763	540	977	926	892	770	524
AAED1	297	212	499	397	661	483	349	220
AAGAB	1867	1111	2229	1471	1750	2213	2399	1125
AAMP	2423	1351	3041	3947	3178	3049	3221	2315
AAR2	1129	747	1950	1997	1481	1563	1903	1754
AARS	7889	9686	19251	8732	26496	14600	13877	5580
AARS2	661	662	846	1279	634	1168	1117	734
AASDH	585	429	449	191	257	420	363	332
AASDHPPT	1855	1233	1250	774	1209	1159	1345	1079
AATF	2758	1688	4084	3607	2881	3339	3409	2490
ABAT	437	107	480	235	427	463	431	262
ABCA5	997	1178	599	274	690	380	487	338
ABCA6	2242	436	2096	408	525	542	587	1770
ABCA7	426	420	649	953	536	428	659	834
ABCB10	6214	3676	5735	2460	618	3382	5669	4983
ABCB6	124	161	237	391	271	314	210	297
ABCB7	1544	947	1396	867	1705	1649	1523	459
ABCB8	257	303	442	574	548	460	540	499
ABCC1	3435	3518	7080	4466	3676	5464	7273	3940
ABCC10	424	319	788	778	537	574	961	620
ABCC4	2154	1379	2178	1367	1496	1990	2690	1113
ABCC5	270	245	514	724	649	856	538	417
ABCD2	1281	1151	534	236	213	461	521	433
ABCD3	829	677	378	395	649	398	459	433
ABCD4	668	465	1169	1062	853	1006	998	836
ABCE1	4325	4234	1846	1833	1986	2610	3542	2235
ABCF1	5395	3229	6699	5662	4575	6403	6720	4927
ABCF2	2507	1896	3693	4752	2806	4542	4616	2509
ABCF3	952	682	1694	2017	1845	1418	1592	1453
ABCG1	170	543	502	642	720	399	258	223
ABHD10	772	604	740	643	859	931	777	829
ABHD12	300	486	398	639	543	386	440	500
ABHD14B	1997	1044	3632	1815	1971	2398	3159	2659
ABHD15	719	510	1047	686	747	688	801	877
ABHD16A	632	520	1036	1296	852	810	935	721
ABHD17B	753	313	486	666	1044	330	462	583
ABHD17C	221	293	198	527	268	315	236	355
ABHD2	1941	1324	3370	2995	2741	2731	3515	2863
ABHD3	660	542	444	480	554	440	493	360
ABHD4	474	1460	1010	2095	1450	528	663	1432
ABHD5	390	375	321	267	253	293	303	222
ABHD6	166	341	348	203	631	151	221	161
ABHD8	255	211	195	273	206	225	274	196
ABI1	5107	3122	4522	2842	4112	3400	4694	4202
ABI2	814	396	1234	514	976	850	978	577
ABL1	607	693	1091	2002	2816	1028	1252	1111
ABL2	1391	1542	1573	1866	2154	1517	1872	1430
ABLIM1	2062	1088	3510	1588	2558	2600	3141	5525
ABR	3282	2380	5164	3969	5440	3040	3613	3645
ABRACL	969	568	1089	634	743	999	710	656
ABT1	661	536	858	791	759	693	858	767
ABTB1	718	489	1145	578	733	525	587	864
ABTB2	411	1245	911	2759	1883	1002	774	295
