,Control.vs.Treated.Gene,Control.vs.Treated.mRNA_logFC,Control.vs.Treated.mRNA_FDR,Control.vs.Treated.Change_type,Control.vs.Treated.P.value,Control.vs.Treated.FDR,Control.vs.Treated.Direction
1,A1BG,0.300861413175166,1,translational_only,0.67507035344675,1,-1
2,A1BG-AS1,-0.080603222664367,1,translational_only,NA,NA,1
3,A1CF,0.968568389656202,1,translational_only,NA,NA,1
4,A2M,-0.166273492953308,1,translational_only,NA,NA,1
5,A2M-AS1,0,1,translational_only,NA,NA,1
6,A2ML1,-0.074868797706572,1,translational_only,NA,NA,1
7,A2MP1,0,1,translational_only,NA,NA,1
8,A3GALT2,0,1,translational_only,NA,NA,1
9,A4GALT,0,1,translational_only,NA,NA,1
10,A4GNT,0,1,translational_only,NA,NA,1
11,AA06,0,1,translational_only,NA,NA,1
12,AAAS,0.233621228902505,1,translational_only,NA,NA,1
13,AACS,0.28834483406283,1,translational_only,NA,NA,1
14,AACSP1,0,1,translational_only,NA,NA,1
15,AADAC,0,1,translational_only,NA,NA,1
16,AADACL2,0,1,translational_only,NA,NA,1
17,AADACL2-AS1,0,1,translational_only,NA,NA,1
18,AADACL3,0,1,translational_only,NA,NA,1
19,AADACL4,0,1,translational_only,NA,NA,1
20,AADACP1,0,1,translational_only,NA,NA,1
21,AADAT,0.313765674139384,1,translational_only,NA,NA,1
22,AAED1,-0.138199192918101,1,translational_only,NA,NA,1
23,AAGAB,0.046487171028528,1,translational_only,0.783051736322053,1,-1
24,AAK1,0.24930359214674,1,translational_only,0.896043818261645,1,-1
25,AAMDC,0.614421727221485,1,translational_only,NA,NA,1
26,AAMP,-0.319211695258144,1,translational_only,0.006547051255363,0.266988813937116,1
27,AANAT,0,1,translational_only,NA,NA,1
28,AAR2,1.20357754695825,1,translational_only,NA,NA,1
29,AARD,0.02940683645661,1,translational_only,0.908088668367705,1,1
30,AARS,0.370262365544117,1,translational_only,0.489265885277396,1,-1
31,AARS2,0.263092501140716,1,translational_only,0.387652512564447,1,-1
32,AARSD1,0,1,translational_only,NA,NA,1
33,AASDH,0.167397461334943,1,translational_only,NA,NA,1
34,AASDHPPT,-0.446979212699141,1,translational_only,NA,NA,1
35,AASS,-0.058527603983467,1,translational_only,0.548132066749535,1,-1
36,AATBC,-0.224079093509735,1,translational_only,NA,NA,1
37,AATF,0.374064572424775,1,translational_only,0.423617773888009,1,-1
38,AATK,-0.973686083559207,1,translational_only,NA,NA,1
39,AATK-AS1,3.09526572616797,1,both,NA,NA,1
40,ABALON,-0.012399358955436,1,translational_only,1,1,1
41,ABAT,3.61672610562314,1,both,NA,NA,1
42,ABCA1,-0.117778723222722,1,translational_only,NA,NA,1
43,ABCA10,0,1,translational_only,NA,NA,1
44,ABCA11P,0,1,translational_only,NA,NA,1
45,ABCA12,1.2506569678027,1,translational_only,NA,NA,1
46,ABCA13,-0.144116708711089,1,translational_only,NA,NA,1
47,ABCA17P,0.72193882316275,1,translational_only,NA,NA,1
48,ABCA2,0.801941482450111,1,translational_only,NA,NA,1
49,ABCA3,-1.50765327255754,1,both,NA,NA,1
50,ABCA4,0,1,translational_only,NA,NA,1
51,ABCA5,-0.006073146857509,1,translational_only,NA,NA,1
52,ABCA6,0,1,translational_only,NA,NA,1
53,ABCA7,0,1,translational_only,NA,NA,1
54,ABCA8,-2.38398999021927,1,both,NA,NA,1
55,ABCA9,0.522160390708859,1,translational_only,0.632628423904432,1,-1
56,ABCA9-AS1,0,1,translational_only,NA,NA,1
57,ABCB1,1.24961253280269,1,translational_only,NA,NA,1
58,ABCB10,-0.116842693672529,1,translational_only,NA,NA,1
59,ABCB11,0,1,translational_only,NA,NA,1
60,ABCB4,1.77245876011053,1,both,NA,NA,1
61,ABCB5,0.695812461038411,1,translational_only,NA,NA,1
62,ABCB6,0.628094797398931,1,translational_only,NA,NA,1
63,ABCB7,1.20002694958732,1,translational_only,NA,NA,1
64,ABCB8,1.74462174734779,1,both,NA,NA,1
65,ABCB9,-0.82775538345248,1,translational_only,NA,NA,1
66,ABCC1,-0.143804656420754,1,translational_only,NA,NA,1
67,ABCC10,-0.337052503327222,1,translational_only,NA,NA,1
68,ABCC11,0,1,translational_only,NA,NA,1
69,ABCC12,0,1,translational_only,NA,NA,1
70,ABCC13,0.489363861538323,1,translational_only,NA,NA,1
71,ABCC2,3.63405089974453,1,both,NA,NA,1
72,ABCC3,0,1,translational_only,NA,NA,1
73,ABCC4,-1.41231303683507,1,translational_only,NA,NA,1
74,ABCC5,-0.405046297473926,1,translational_only,NA,NA,1
75,ABCC5-AS1,0.782787123404792,1,translational_only,NA,NA,1
76,ABCC6,-0.033289126083328,1,translational_only,NA,NA,1
77,ABCC6P1,0,1,translational_only,NA,NA,1
78,ABCC6P2,0,1,translational_only,NA,NA,1
79,ABCC8,0,1,translational_only,NA,NA,1
80,ABCC9,0.187134911156936,1,translational_only,0.155277038925536,1,-1
81,ABCD1,0.556037455085915,1,translational_only,NA,NA,1
82,ABCD2,0,1,translational_only,NA,NA,1
83,ABCD3,0.47056317107995,1,translational_only,NA,NA,1
84,ABCD4,-0.238532314782511,1,translational_only,NA,NA,1
85,ABCE1,0.193310362555565,1,translational_only,0.780607930325552,1,-1
86,ABCF1,0.676789596024283,1,translational_only,0.074779099645124,0.796420349594691,-1
87,ABCF2,-0.534128863050026,1,translational_only,NA,NA,1
88,ABCF3,-0.312333938527014,1,translational_only,NA,NA,1
89,ABCG1,0.247980974427318,1,translational_only,NA,NA,1
90,ABCG2,-2.38399032603681,1,both,NA,NA,1
91,ABCG4,0,1,translational_only,NA,NA,1
92,ABCG5,0,1,translational_only,NA,NA,1
93,ABCG8,-2.38399066132819,1,both,NA,NA,1
94,ABHD1,-0.369205057088905,1,translational_only,1,1,1
95,ABHD10,-0.141920094427091,1,translational_only,NA,NA,1
96,ABHD11,0.302013702833419,1,translational_only,NA,NA,1
97,ABHD11-AS1,-0.117781783179059,1,translational_only,NA,NA,1
