,GPB.vs.GPA.Gene,GPB.vs.GPA.mRNA_logFC,GPB.vs.GPA.mRNA_FDR,GPB.vs.GPA.Change_type,GPB.vs.GPA.P.value,GPB.vs.GPA.FDR,GPB.vs.GPA.Direction
1,A1BG,-0.21525756832228,0.98956812928009,translational_only,0.138000184630952,0.633526669193895,-1
2,AAAS,-0.443113250365681,0.775908764946252,translational_only,0.676996611184964,0.97919582317402,-1
3,AACS,-0.273518730393117,0.942692545645703,translational_only,0.267722852624702,0.813903892407026,1
4,AAED1,-0.609310641307298,0.809139740655077,translational_only,0.344866591052499,0.874529450694225,-1
5,AAGAB,-0.156277703752657,0.958831126215339,translational_only,0.611255014091059,0.967049477364507,1
6,AAMP,-0.593178653854765,0.62081531658209,translational_only,0.766323241650027,0.986185228945099,1
7,AAR2,-0.766383904533622,0.449908422490379,translational_only,0.163217641303787,0.684977039720544,1
8,AARS,-0.519374264261497,0.776322594096151,translational_only,0.904974686854909,0.994746689651404,-1
9,AARS2,-0.349587931984398,0.879283464373445,translational_only,0.961597932411114,0.998549688396844,-1
10,AASDH,0.777614828031302,0.624256403815991,translational_only,0.179251563611394,0.716639811726098,-1
11,AASDHPPT,0.602820175927865,0.562957825331533,translational_only,0.308166976606975,0.851673462214583,-1
12,AATF,-0.412443531757635,0.753142662265808,translational_only,0.871409889160915,0.994344153929159,-1
13,ABAT,-0.399443389450047,0.91621465228688,translational_only,0.541515787854515,0.950880936025228,1
14,ABCA5,1.45749484866452,0.059493421463611,translational_only,0.079955382883151,0.50332428259168,-1
15,ABCA6,0.517513088229194,0.822196296777581,translational_only,0.058096408677205,0.430640088072219,-1
16,ABCA7,-0.50552529070875,0.818107920790342,translational_only,0.457814118344843,0.929410184196952,-1
17,ABCB10,0.554377614987517,0.755154350339999,translational_only,0.494035776347384,0.938321732957481,-1
18,ABCB6,-0.818338541933699,0.752667794552859,translational_only,0.444878217985112,0.922370477993707,-1
19,ABCB7,0.143400738241593,0.957806978963002,translational_only,0.517957550853648,0.942541607469753,-1
20,ABCB8,-0.672567107109251,0.730946377425551,translational_only,0.612919474469481,0.967049477364507,-1
21,ABCC1,-0.387194658458079,0.775961476979279,translational_only,0.886598007076337,0.994344153929159,-1
22,ABCC10,-0.75545704610974,0.628797092260812,translational_only,0.626729538869378,0.970886938777152,-1
23,ABCC4,0.150555622089372,0.942889755960843,translational_only,0.418733424391472,0.913444506750239,-1
24,ABCC5,-1.08638349195993,0.448554443439862,translational_only,0.977864083588256,0.998549688396844,-1
25,ABCD2,1.81132696997808,0.009567265469558,both,0.01817610568926,0.212755771525252,-1
26,ABCD3,0.892104594246716,0.449873078666699,translational_only,0.139692535228296,0.638050684456529,-1
27,ABCD4,-0.63653914173821,0.649318568726511,translational_only,0.840807547169036,0.993749382864656,-1
28,ABCE1,1.06314418054511,0.082998852298032,translational_only,0.229630108516456,0.778754588726213,-1
