ID	WT_GpB_1	WT_GpB_2	WT_GpA_1	WT_GpA_2	WT_GpA_3	WT_GpA_4	WT_GpA_5	WT_GpA_6	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
A1BG	120	61	163	139	94	114	139	56	69	27	43	23	25	45	76	30
AAAS	1209	1147	1591	2513	1180	1864	2029	1708	722	511	458	426	252	400	409	492
AACS	308	763	540	977	926	892	770	524	54	131	47	74	83	69	53	44
AAED1	297	212	499	397	661	483	349	220	47	39	110	56	110	73	106	53
AAGAB	1867	1111	2229	1471	1750	2213	2399	1125	206	223	174	174	194	207	235	133
AAMP	2423	1351	3041	3947	3178	3049	3221	2315	1089	532	497	583	423	498	476	444
AAR2	1129	747	1950	1997	1481	1563	1903	1754	262	178	194	123	116	108	142	160
AARS	7889	9686	19251	8732	26496	14600	13877	5580	2477	4519	4116	1448	4407	2604	2312	1126
AARS2	661	662	846	1279	634	1168	1117	734	142	117	130	129	98	140	161	138
AASDH	585	429	449	191	257	420	363	332	68	69	87	48	79	68	93	56
AASDHPPT	1855	1233	1250	774	1209	1159	1345	1079	370	273	291	228	263	233	268	181
AATF	2758	1688	4084	3607	2881	3339	3409	2490	666	615	561	486	550	574	655	499
ABAT	437	107	480	235	427	463	431	262	84	20	59	29	45	45	43	21
ABCA5	997	1178	599	274	690	380	487	338	55	66	102	67	168	80	100	56
ABCA6	2242	436	2096	408	525	542	587	1770	400	83	528	148	154	131	216	454
ABCA7	426	420	649	953	536	428	659	834	119	77	179	123	106	79	93	260
ABCB10	6214	3676	5735	2460	618	3382	5669	4983	578	401	639	379	104	412	937	1072
ABCB6	124	161	237	391	271	314	210	297	31	38	37	67	51	59	57	80
ABCB7	1544	947	1396	867	1705	1649	1523	459	313	280	228	181	300	319	319	103
ABCB8	257	303	442	574	548	460	540	499	94	67	80	103	87	94	96	133
ABCC1	3435	3518	7080	4466	3676	5464	7273	3940	974	1244	1171	704	669	869	907	1035
ABCC10	424	319	788	778	537	574	961	620	136	70	176	108	87	113	135	185
ABCC4	2154	1379	2178	1367	1496	1990	2690	1113	327	276	307	278	334	393	547	190
ABCC5	270	245	514	724	649	856	538	417	34	35	71	86	93	82	56	67
ABCD2	1281	1151	534	236	213	461	521	433	220	151	150	131	77	126	157	119
ABCD3	829	677	378	395	649	398	459	433	173	164	152	119	195	87	101	80
ABCD4	668	465	1169	1062	853	1006	998	836	89	81	117	130	126	156	160	138
ABCE1	4325	4234	1846	1833	1986	2610	3542	2235	530	814	402	555	492	594	514	372
ABCF1	5395	3229	6699	5662	4575	6403	6720	4927	1627	924	1181	1023	781	1194	1328	1149
ABCF2	2507	1896	3693	4752	2806	4542	4616	2509	634	570	425	458	370	667	767	337
ABCF3	952	682	1694	2017	1845	1418	1592	1453	422	257	301	295	287	259	277	271
ABCG1	170	543	502	642	720	399	258	223	84	282	164	91	188	131	68	70
ABHD10	772	604	740	643	859	931	777	829	124	147	114	69	132	98	46	70
ABHD12	300	486	398	639	543	386	440	500	68	69	63	88	74	60	71	87
ABHD14B	1997	1044	3632	1815	1971	2398	3159	2659	200	100	223	91	121	123	154	161
ABHD15	719	510	1047	686	747	688	801	877	62	45	68	48	52	53	45	71
ABHD16A	632	520	1036	1296	852	810	935	721	118	113	127	126	120	115	130	133
ABHD17B	753	313	486	666	1044	330	462	583	98	66	97	102	156	48	33	73
ABHD17C	221	293	198	527	268	315	236	355	30	41	33	63	38	46	54	75
ABHD2	1941	1324	3370	2995	2741	2731	3515	2863	434	259	374	445	305	299	269	380
ABHD3	660	542	444	480	554	440	493	360	136	130	107	88	110	59	67	77
ABHD4	474	1460	1010	2095	1450	528	663	1432	106	271	146	207	175	85	101	236
ABHD5	390	375	321	267	253	293	303	222	26	41	25	35	33	31	50	34
ABHD6	166	341	348	203	631	151	221	161	35	95	48	34	101	25	59	20
ABHD8	255	211	195	273	206	225	274	196	39	30	32	33	34	43	56	33
ABI1	5107	3122	4522	2842	4112	3400	4694	4202	1069	871	1217	695	988	847	1020	815
ABI2	814	396	1234	514	976	850	978	577	25	20	63	45	86	81	89	57
ABL1	607	693	1091	2002	2816	1028	1252	1111	86	68	102	141	237	63	97	121
ABL2	1391	1542	1573	1866	2154	1517	1872	1430	77	137	83	95	122	77	86	81
ABLIM1	2062	1088	3510	1588	2558	2600	3141	5525	136	78	279	153	178	156	158	424
ABR	3282	2380	5164	3969	5440	3040	3613	3645	670	504	567	414	484	308	321	490
ABRACL	969	568	1089	634	743	999	710	656	52	64	54	37	66	80	25	22
ABT1	661	536	858	791	759	693	858	767	205	124	184	148	131	128	208	187
ABTB1	718	489	1145	578	733	525	587	864	108	96	201	56	83	80	115	104
ABTB2	411	1245	911	2759	1883	1002	774	295	142	346	116	238	318	132	98	78
ACAA1	1351	968	1558	1884	1201	1396	1372	1108	220	187	187	178	159	173	228	174
ACAA2	933	921	1024	1176	1011	1423	840	1099	205	308	165	184	169	210	126	167
ACACA	1570	2654	1932	3249	1955	2685	3098	1696	364	646	236	414	321	368	337	270
ACAD10	707	508	1382	1015	752	951	1033	757	164	134	220	108	113	130	151	158
ACAD8	358	296	624	584	599	659	493	463	69	67	70	69	73	66	53	88
ACAD9	641	678	964	1352	787	1312	965	901	248	221	176	222	161	257	206	206
ACADM	2099	1991	1442	800	2326	1035	1234	1205	505	581	316	299	645	264	189	205
ACADS	117	264	232	561	295	297	361	352	79	124	42	121	63	95	107	90
ACADSB	1154	791	697	344	477	705	936	420	158	146	114	89	136	110	127	54
ACADVL	4379	3662	5989	7958	5249	8488	7098	3671	1045	1140	761	1040	891	1438	1378	780
ACAP1	3587	1144	5349	2926	6037	4387	4688	2476	1090	409	884	557	954	786	921	496
ACAP2	3615	2128	1979	964	1909	1454	2080	1609	504	380	473	394	512	343	431	283
ACAT1	939	568	809	780	1307	1021	965	983	199	199	187	187	297	208	148	174
ACAT2	861	2110	781	1405	1892	1385	972	1413	354	1052	244	521	439	283	299	417
ACBD3	2048	1258	1550	931	1654	1199	1431	1459	234	217	279	213	242	194	198	228
ACBD5	943	491	705	559	800	544	667	650	87	70	79	93	88	70	100	83
ACBD6	1171	832	1569	971	1556	1452	1367	757	218	154	170	163	228	197	228	117
ACD	818	531	1043	895	638	1073	933	335	604	175	326	168	230	335	318	126
ACIN1	6944	3748	10462	8324	6448	8677	10667	7908	2043	995	1797	1107	1016	1223	1401	1521
ACLY	4259	6342	6351	7595	6343	7485	7909	5395	2510	3493	1774	1729	1744	1910	1988	1527
ACO1	510	509	574	927	1016	948	809	730	166	261	138	176	211	174	121	124
ACO2	2268	2034	2968	5988	5305	3363	3567	2906	1458	1201	1223	1411	1785	1276	1485	1032
ACOT13	511	359	575	394	397	642	504	443	157	114	91	94	85	121	48	80
ACOT2	211	183	237	300	246	270	265	201	146	111	103	59	62	93	92	53
ACOT7	350	616	354	1425	599	934	553	857	94	147	66	174	102	154	109	166
ACOT8	464	223	526	452	501	463	525	423	91	62	101	63	81	73	109	100
ACOT9	1588	1028	2019	2273	3628	1823	2492	697	587	381	288	306	517	256	293	133
ACOX1	799	617	1154	849	1155	995	1079	1024	410	420	328	273	308	298	259	222
ACOX3	323	225	633	614	858	418	608	687	128	97	182	121	187	78	140	191
ACP1	1510	1414	1777	1240	1613	2033	1789	1753	279	265	227	285	238	274	311	278
ACP2	275	278	521	701	503	345	470	370	137	120	124	122	123	99	110	97
ACP5	1090	727	1093	1323	5483	510	1021	3019	195	190	258	430	673	87	181	397
ACSF2	217	226	449	342	447	399	305	481	33	59	67	36	45	45	48	78
ACSF3	546	469	1131	697	619	1000	1031	818	218	121	232	122	126	200	233	190
ACSL1	5788	6043	5813	3627	5091	5550	3825	3462	1180	1607	680	596	812	711	491	430
ACSL3	1468	3416	896	667	1242	574	1025	999	269	753	253	233	385	152	276	199
ACSL4	6396	7136	3069	2044	3416	2434	3382	1492	1442	1620	1123	1128	1322	996	1072	496
ACSL5	2181	1590	3135	2417	2124	2481	3368	2293	590	556	464	445	390	416	773	444
ACSS1	999	713	1315	1348	1185	1729	1640	1294	128	77	75	114	92	133	111	105
ACSS2	390	762	535	1029	746	527	735	1679	52	148	53	123	71	59	67	194
ACTA2	186	145	208	657	250	317	236	189	250	118	131	169	117	191	140	114
ACTB	158854	84790	186952	225187	125487	155588	164059	77166	217508	81922	132730	78797	77865	97261	78861	54469
ACTG1	132380	68164	142093	126145	154249	153626	163001	73273	33108	19140	22459	18042	18161	21925	27048	11986
ACTL6A	1369	1122	1363	1490	1437	1781	1818	1436	266	361	248	252	331	362	202	219
ACTN1	169	3988	804	1784	1534	556	534	1124	416	1503	260	521	227	271	293	239
ACTN4	2320	3337	3078	5934	4000	3419	1887	2646	1385	1938	931	1278	943	874	563	838
ACTR10	909	661	777	1525	1260	1183	1379	877	187	193	146	163	221	129	114	117
ACTR1A	3104	1749	5344	4273	3360	4351	4744	2982	914	522	701	456	436	551	499	418
ACTR1B	1839	1262	2663	2568	2071	2114	2153	1526	431	264	487	322	424	499	516	352
ACTR2	16437	12235	10164	6116	9473	9373	9515	8792	5123	5398	3529	3409	3706	4244	2317	2043
