geneIDs,disper,pval,padj,TEB,TEA,"log2FC_TE(A vs
B)
",fold change
KIAA2026,0.05376771700736,1.64872560048934E-11,2.11300672958714E-07,0.024463387001418,0.184043473094019,2.91135052036672,7.52322125645779
QSER1,0.036280657204284,3.69068109407067E-11,2.36498844508048E-07,0.046083200025665,0.233979191258649,2.34406742427782,5.07732082685967
MED13,0.029061687719247,4.81479223157777E-09,2.01006666031844E-05,0.069072386445016,0.226999868691735,1.71651048837532,3.28640547076561
PAXBP1,0.030453210138025,6.27361629312873E-09,2.01006666031844E-05,0.057124216865808,0.201075953647094,1.81556617530718,3.51997742252548
DMTF1,0.050383165841554,1.08508705354282E-08,2.78129513564096E-05,0.03961175479193,0.192500217634403,2.28085955803156,4.85967407012276
CCNT2,0.059238718583722,2.09453112631763E-08,4.47391848581447E-05,0.021767268757095,0.12101097852374,2.47490563741777,5.55930924886003
NIPBL,0.040494078757926,2.44408613347957E-08,4.47477255523917E-05,0.114640656205717,0.432728781212584,1.91634430624742,3.77465373572247
KMT2E,0.060670402896316,1.11645380052039E-07,0.000178855898843,0.07033944038886,0.332264851583977,2.23992792433394,4.72373464655259
BRWD3,0.078424451232335,1.45614932112181E-07,0.000207355663328,0.041162035416303,0.250922873729754,2.6078577617715,6.09597827687528
C6orf62,0.080851846427013,1.72360218653189E-07,0.000220896856226,0.006393649794569,0.040305109415244,2.65625110923034,6.3039282272672
USP34,0.053803992021506,2.64701313201776E-07,0.000308401093636,0.075525833420479,0.309389877140298,2.03438389017776,4.09647749820669
SOS1,0.029465086577209,2.94185702909289E-07,0.000314190330707,0.062237765225016,0.18417146168734,1.5651873623175,2.95915929856223
RLF,0.045144254476665,4.87789231673474E-07,0.000480885137933,0.10536975071447,0.384040751473552,1.86579864574203,3.64469640356483
SREK1,0.036002667103601,5.62058981246061E-07,0.000514524850261,0.059055502450863,0.187055872239351,1.66332586408675,3.16745882223238
TRPM7,0.078399786536308,7.04660300998583E-07,0.0005644329011,0.035847672354679,0.188275077668933,2.39289068965692,5.2520865457073
PIK3CA,0.059355137830621,6.73360732617034E-07,0.0005644329011,0.09424560455643,0.402420949650796,2.09420817203583,4.26991743057729
ZBTB44,0.045895465029009,8.77911929042519E-07,0.000625073293478,0.026913455225229,0.099966732909353,1.89312045224731,3.71437751387798
ZFC3H1,0.067845212708197,8.38420899040848E-07,0.000625073293478,0.109327596150105,0.502433145943877,2.20027403537886,4.5956662694206
DICER1,0.022997979040229,9.57025223069508E-07,0.000645538697835,0.095363157284591,0.231457680610964,1.27924453084462,2.42711847218133
CEP295,0.082124723683766,1.05015261908648E-06,0.000672937798311,0.072393562759454,0.393693030376931,2.44313784883387,5.4382325633714
SSFA2,0.07531862276222,1.15266414713044E-06,0.000703454462363,0.032629507403412,0.177105079738635,2.44035647932,5.42775830321353
CLOCK,0.07576100095827,1.32451441181569E-06,0.000771589850083,0.020402944173895,0.110272713344507,2.43422658920597,5.4047451389686
PDZD8,0.061577090501657,1.57652890053761E-06,0.000859641550878,0.038887851275702,0.170927577940706,2.13599375744764,4.39539785134661
IFT80,0.080551978978344,1.60981563834817E-06,0.000859641550878,0.027874164671517,0.168127344127326,2.59255390634615,6.03165497903251
NOL8,0.054392087884506,1.77292704772736E-06,0.000888445878161,0.094001865531967,0.355975210503442,1.92101548444116,3.78689516946222
NUDCD3,0.031375892846887,1.80240268665699E-06,0.000888445878161,0.122548497131023,0.044357636692727,-1.46609838380881,0.36195985859624
TTC3,0.110375710759054,2.00700006847132E-06,0.000952656032501,0.035254652837121,0.234913974327432,2.7362469583653,6.66334669108075
PRPF4B,0.030637318003267,2.44681251504453E-06,0.001045278306427,0.099739819029317,0.26571282409646,1.41362636783866,2.66405961713605
MBD5,0.087890609710952,2.43945604194717E-06,0.001045278306427,0.020950486736544,0.14245372787542,2.76543770894148,6.79954263911869
ZMAT1,0.138418691461493,2.38939989305464E-06,0.001045278306427,0.019029197262902,0.193923521115437,3.34920119087306,10.190840866078
ZDHHC17,0.04163340646621,2.72719762861584E-06,0.00112747628414,0.067783313160581,0.220260883702802,1.70021124775749,3.24948535904401
