,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fold change
A1BG,72.2498529334765,0.34916471393754,0.684696541639288,0.509955422151798,0.610082692666419,0.888598689580828,1.27382290066084
A2M,60.8761106108141,0.712193111727731,1.76299471847236,0.403967807881381,0.686236392025987,0.918812746285684,1.63829267446312
A2ML1,1.66229224438011,-0.656818490734238,2.26304202213874,-0.290236983807086,0.771634944315288,NA,0.634275494515022
A4GALT,33.0019120876528,0.035597227252284,1.70193164498937,0.020915779641965,0.983312839043658,NA,1.02498104291849
AAAS,885.383252707403,0.926361873037174,0.403443074123067,2.29614023007022,0.021667864698146,0.188715389161552,1.90047740514071
AACS,229.64850622888,0.798852883165382,0.651422770382217,1.22632017099535,0.220078213605178,0.612913910885571,1.73971729110323
AAED1,167.272170524172,-0.471369638965715,0.558073562027419,-0.844637107074705,0.398313484365695,0.774054332957019,0.721279517694749
AAGAB,587.100754915774,0.267936950262176,0.383720329177528,0.698261024732455,0.485013968887988,0.832039907440152,1.20408475826877
AAK1,155.753530415478,-0.182936416527096,0.705927959010708,-0.25914318053568,0.795524769174453,0.952355954189868,0.88090819727854
AAMDC,39.6097376118196,1.11381987112728,0.830451611764901,1.34122187897276,0.179848424850751,NA,2.1641790618301
AAMP,1243.31317656394,1.18213332307889,0.361253914707963,3.27230591821966,0.001066740837226,0.032492057141415,2.26912065533238
AAR2,504.952084910534,1.29258919869145,0.323996672196699,3.98951381175518,6.62088641418619E-05,0.005687182017342,2.44967303045965
AARS,6128.3506099825,0.862143039035903,0.777594778655747,1.10873048881105,0.26754646505571,0.66473347892478,1.81773644726842
AARS2,337.597921125739,0.20980505720496,0.386572123489181,0.542731988306012,0.587314346359049,0.879491316102138,1.15653189807396
AARSD1,3.77806367539198,-0.91930924275578,1.81813093191048,-0.50563423492816,0.613113443718522,NA,0.52876212910511
AASDH,163.198525432086,-0.931118951920659,0.456575449375004,-2.039353962626,0.041414713583052,0.270810733334449,0.52445142036188
AASDHPPT,570.192354301728,-0.314897046802119,0.309002247214744,-1.01907688258098,0.308166468131393,0.707280796655001,0.803908356978395
AASS,12.882013003089,0.090721898246337,1.94003909870087,0.046762922616914,0.962702180152473,NA,1.06490290712271
AATF,1299.86246356186,0.515219073004604,0.238627266251983,2.15909556815083,0.030842753419927,0.22881329011963,1.42921114874209
AATK,11.4810468358846,-0.199170532755426,2.68598875679756,-0.074151662865817,0.940889707351493,NA,0.871051224057742
ABAT,121.888440539009,0.609258969379556,0.744614585566934,0.818220568316801,0.413231252526849,0.786008504401165,1.52547545746787
ABCA1,114.777663424778,0.03183013201529,1.96482734924558,0.016199963842885,NA,NA,1.02230815336819
ABCA10,8.18945172702004,-4.2793978327713,1.69584571329691,-2.52345941568687,0.011620647325757,NA,0.051495928006173
ABCA2,100.389103850008,-0.311566599702504,1.05595112229135,-0.295057785464941,0.767949737125021,0.944436218155422,0.805766315108935
ABCA3,70.4442762718282,0.377616826703928,1.09742258467061,0.344094273235017,0.730775389543167,0.935337745962125,1.2991939565729
ABCA5,235.651354964373,-2.18934502328761,0.593321853426842,-3.68997873690753,0.000224272796944,0.012799948677047,0.21925094662819
ABCA6,534.30382164783,-0.853609259035759,1.08292832953275,-0.788241692230973,0.430555346346384,0.796260342514248,0.553398539263232
ABCA7,281.437605670208,-0.142890779171199,0.628065983258297,-0.227509183716504,0.820027828887488,0.955087825722219,0.905702547638694
ABCA8,3.9315722582619,1.57484985934367,1.77955307901674,0.884969309380659,0.376173184351768,NA,2.9790448821849
ABCA9,31.6548856600716,-2.2020504967047,1.69005010982503,-1.30294982610467,0.192591891572167,NA,0.217328533032457
ABCB1,55.9720892304001,0.603577430450898,0.766891760946643,0.78704383224283,0.431256207616571,0.796260342514248,1.51947973120855
ABCB10,1512.76255548409,-0.924624692260702,0.991579555521413,-0.932476559356346,0.351090295243371,0.743937048902381,0.526817548314453
ABCB4,68.1176509828009,-0.397067081249129,1.18455478115011,-0.335203645764366,0.737471472048155,0.937943725856317,0.759400534104004
ABCB6,114.594152064847,-0.049819490226168,0.519380469955711,-0.095920992621105,0.923583321754999,0.982160600717502,0.966057194285709
ABCB7,560.548933907579,0.056528771728402,0.635053943246836,0.089014126011701,0.92907068375176,0.982941233925888,1.03996052816348
ABCB8,205.526681284351,0.261726220543404,0.364175884037382,0.718680813352646,0.472337607721502,0.825349634509508,1.1989123752497
ABCB9,18.7540550355676,0.816431437897285,1.09198027892289,0.747661339362828,0.45466445597436,NA,1.76104458870576
ABCC1,2113.5722283895,0.63389024466242,0.394709393522085,1.60596695965624,0.108281169714328,0.440471566901047,1.55174365267362
ABCC10,276.612719590278,0.254891595100353,0.452330002207129,0.5635080446944,0.573088983663002,0.872665918418913,1.19324607849576
ABCC2,21.2399116375898,-2.11495936618778,1.14546039118135,-1.84638367460838,0.064836515947736,NA,0.230852079588633
ABCC3,33.7193142306681,-0.01354707476297,2.00056189141276,-0.006771634919729,0.994597058338203,NA,0.990653832797673
ABCC4,758.975309137896,-0.418280709028884,0.48422796137921,-0.863809491375735,0.387692553002911,0.766612772112371,0.748315877410645
ABCC5,184.64444335743,-0.162880785065406,0.448228035820244,-0.363388213250291,0.716314905340604,0.930716196608344,0.893239660818948
ABCC9,12.2435695840981,-1.5701442785057,1.59100443880106,-0.986888685042836,0.323697211786885,NA,0.336774712959701
ABCD1,66.3458768817487,0.837994355265673,0.723523772274605,1.15821260804078,0.246777284383356,0.64408184170113,1.78756333062297
ABCD2,297.838259167918,-1.35299085422301,0.498718891144983,-2.71293283299685,0.006669062268399,0.097931159207246,0.391479629854444
ABCD3,271.326213706918,-0.5436213004339,0.477941585257623,-1.13742205575368,0.255361891401303,0.653098170667221,0.686046704173542
ABCD4,326.919940761063,-0.169190173758811,0.252108680767943,-0.671100151107232,0.502156730708095,0.839382680523417,0.889341754199612
ABCE1,1236.71227399044,-0.681825908316959,0.412824226804307,-1.65161311775476,0.098613444168919,0.421020067906758,0.623375816081459
ABCF1,2474.71683530508,0.357506019772043,0.323835931229386,1.10397267657988,0.269604990440128,0.667317305769317,1.28120916174705
ABCF2,1315.06981901692,0.779226382986938,0.439837838194545,1.77162198274146,0.076457328112714,0.373839719060364,1.71621034184281
ABCF3,647.57459852632,1.01721953531145,0.275473679733261,3.69261969526968,0.000221955817181,0.012786639032244,2.02401437345953
ABCG1,252.541534876046,0.675252208575495,0.863876167981403,0.781653937917212,0.434417978807088,0.797751693049851,1.59687591042828
ABCG4,6.63019300501101,-1.13917370760931,1.87693774694258,-0.606932067653795,0.543895995673777,NA,0.454019539374351
ABHD1,7.56030681547241,0.241888151750578,1.36021726407942,0.177830526150751,0.85885607302949,NA,1.18253931761129
ABHD10,277.18749854055,0.569428311143972,0.466352361953496,1.22102589715361,0.222076214664366,0.614878286892106,1.4839354231495
ABHD11,56.1152264568415,0.516952157038439,0.973965826954275,0.530770323487652,0.595577947278786,0.882984629657742,1.43092906646028
ABHD12,182.554639556331,-0.120801923133839,0.460068421445662,-0.262573820550966,0.79287908037036,0.952043122075041,0.919676305749511
ABHD13,152.552642647382,-0.370116069194608,0.67666057600566,-0.546974483690789,0.584396262389992,0.878866960381682,0.773720246125066
ABHD14A,47.2136665795839,0.031916935344947,0.668084157271938,0.047773824596106,0.961896497675835,0.992276174501806,1.02236966492733
ABHD14B,639.700706150381,0.548677991851044,0.492297474332934,1.11452530321125,0.265053895480555,0.662121068361308,1.46274470105238
ABHD15,220.053124309715,0.046105204723043,0.358601834275231,0.128569349948324,0.897698420173631,0.976291179152942,1.03247382316302
ABHD16A,318.810261817953,0.310650016330337,0.301615405279384,1.02995407692317,0.303031563642956,0.70368461536493,1.24026638475487
ABHD16B,9.58701951514324,0.554216870510482,1.29965807763277,0.426432828794437,0.669792484168628,NA,1.46837134969944
ABHD17A,107.381005723592,-1.90959305956053,0.88900097097467,-2.14802134295412,0.031712059998926,0.231596857442581,0.266167612822699
ABHD17B,219.840785042348,-0.13609165098145,0.771450167814108,-0.176410164466051,0.859971719804808,0.966542602139202,0.909981013317164
ABHD17C,119.763652000794,-0.527364046778944,0.630892262111729,-0.835901909802708,0.403210087940661,0.777994724427221,0.693821259948594
ABHD2,953.648840106155,0.608332946795731,0.32750175939194,1.85749520224013,0.063240733147751,0.340364530386015,1.52449661480122
ABHD3,218.850633411679,-0.008109510513415,0.353309269876487,-0.022953008043774,0.981687757210769,0.996699293305157,0.994394684386898
ABHD4,439.10569830375,0.241075312292334,0.859240766766731,0.280567824079723,0.779041897761847,0.946563220763134,1.18187324206561
ABHD5,104.012537439056,-0.799051862673191,0.377576745057285,-2.11626344348077,0.034322408023606,0.241757289302882,0.574726763100647
ABHD6,120.282110383113,0.325484921524688,0.951223180710625,0.342175136313993,0.732219095464043,0.935512562499475,1.25308555745476
ABHD8,91.8354841248102,-0.468052012798119,0.384812729390267,-1.21631114838572,0.223866416272206,0.61684714376634,0.722940082988075
ABI1,1943.65918616349,-0.252376627203081,0.326701324243912,-0.772499553796295,0.439818611073225,0.800743205753371,0.839512302861487
ABI2,228.086863141012,-1.39944962154029,0.533817326105891,-2.62158898391148,0.008752091116728,0.115707132815003,0.379073728125448
ABI3,53.088409778367,0.866587364615927,0.995323640523973,0.870658878512848,0.383940437645575,0.764634924466382,1.82334474876061
ABL1,405.53976304016,0.228274178091569,0.696810274805459,0.327598754417477,0.743215063844267,0.938195515162077,1.17143278591274
ABL2,454.2978392088,0.204018224191422,0.40110156916717,0.508644791928977,0.611001226446541,0.888824694354651,1.15190219313998
ABLIM1,791.995711385419,-0.329907065421295,0.697082875176857,-0.473268067785476,0.636021940816777,0.898126018058835,0.795587731750647
ABLIM3,20.0282460617146,0.039470289024284,1.04846792696631,0.037645680911279,0.969970185616055,NA,1.02773640579114
ABR,1334.40064037299,0.715749805549945,0.403734652392032,1.77282232602353,0.076258152690139,0.373574380304377,1.64233656020873
ABRACL,220.932124567199,0.109575105655971,0.59308663228353,0.184753962897595,0.85342201840748,0.963224827622668,1.07891043513872
ABT1,347.260778160754,0.108904686636515,0.298516761979382,0.364819335150219,0.715246271042612,0.930375937076941,1.07840918295583
ABTB1,268.683731701732,-0.025222700598204,0.57001553151846,-0.044249146213636,0.9647058073778,0.992276174501806,0.982668897848522
ABTB2,460.336305962705,0.865998225727575,1.02192191483255,0.847421131847905,0.396760429983716,0.774054332957019,1.82260031978084
ACAA1,499.900125173918,0.17038765608073,0.281736801616591,0.604776000519117,0.545327842016975,0.86050814183306,1.12536083158201
ACAA2,447.175155095812,0.562826792026748,0.386160181012451,1.45749567071133,0.144979605546042,0.508340595848617,1.47716070706267
ACACA,928.648964569699,0.536572949401661,0.504636567908103,1.0632859042022,0.287652315537731,0.687202450200677,1.45052277660166
ACACB,79.7097472051337,0.477029492783224,0.932123462337687,0.511766425862594,0.608814490434168,0.888242080554208,1.39187484541439
ACAD10,354.125964619067,0.435610279551202,0.375959700499152,1.15866216238829,0.246593919729222,0.643766202594364,1.35248283060209
