,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust,fold change
A1BG,-0.112302212405851,0.977035369863299,-0.11857494534982,0.906116526793735,-0.112302212405851,0.977035369863299,0.999981658505067,0.925110617715883
AAAS,-0.025150430394936,0.956788608806267,-0.03475189483746,0.904228000660243,-0.025150430394936,0.956788608806267,0.999981658505067,0.982718124786846
AACS,0.083081021211415,0.907803570262838,0.069252609019727,0.836880497805846,0.083081021211415,0.907803570262838,0.999981658505067,1.05927782165793
AADAT,0.408554104649575,0.563305772074494,0.385830400059628,0.438357069735849,0.408554104649575,0.563305772074494,0.999981658505067,1.32735484794861
AAED1,-0.441971731055645,0.713926000248156,-0.464379314039782,0.280136365557819,-0.441971731055645,0.713926000248156,0.999981658505067,0.736127855028794
AAGAB,-0.076867716289302,0.860882352299904,-0.08525144428476,0.787813395514412,-0.076867716289302,0.860882352299904,0.999981658505067,0.948113895679382
AAK1,-0.178169538410446,0.606660022721108,-0.182974943730657,0.546505406424329,-0.178169538410446,0.606660022721108,0.999981658505067,0.883823662360114
AAMDC,0.417409039849472,0.561013869131478,0.385109542813278,0.53849276352353,0.417409039849472,0.561013869131478,0.999981658505067,1.33552690464504
AAMP,-0.928787118357591,0.022954318148292,-0.93530583046753,0.00040894056523,-0.928787118357591,0.022954318148292,0.82650950916502,0.525299778634561
AAR2,0.496888937462103,0.676374538295544,0.934410527802111,0.001876154588709,0.496888937462103,0.676374538295544,0.999981658505067,1.41116720378672
AARD,-0.488013689983608,0.810709724394633,-0.519162303304535,0.738988466225002,-0.488013689983608,0.810709724394633,0.999981658505067,0.71300609281142
AARS,0.075299884167406,0.823325619255763,0.071616276117917,0.759518453223128,0.075299884167406,0.823325619255763,0.999981658505067,1.05358001440921
AARS2,0.055656430242874,0.89692016659717,0.041050505971354,0.9339255543581,0.041050505971354,0.9339255543581,0.999981658505067,1.02886272576313
AASDH,0.566993573242115,0.538736421658713,0.533765707272427,0.369503854279068,0.566993573242115,0.538736421658713,0.999981658505067,1.48143319868129
AASDHPPT,-0.770841083612734,0.442242611095976,-0.778409493779241,0.009054776449499,-0.770841083612734,0.442242611095976,0.999981658505067,0.586075695953115
AASS,0.093948263559678,0.806574687765333,0.057863942044721,0.961575379202719,0.057863942044721,0.961575379202719,0.999981658505067,1.04092342545276
AATF,0.118033877906358,0.702454884763917,0.114003972457041,0.692183553151167,0.118033877906358,0.702454884763917,0.999981658505067,1.08525485594439
ABCA12,1.65662956011627,0.418736505728546,2.26936423314599,0.612125648248624,2.26936423314599,0.612125648248624,0.999981658505067,4.82110627744191
ABCA13,0.510598938000525,0.542444271304854,0.473746743216287,0.533199898025686,0.510598938000525,0.542444271304854,0.999981658505067,1.42464151588477
ABCA2,0.372972975732054,0.759519807178122,0.353369572575227,0.294818427650441,0.372972975732054,0.759519807178122,0.999981658505067,1.29501874060148
ABCA3,0.59431383411934,0.515068490601857,-0.63559801698014,0.938096846509651,-0.63559801698014,0.938096846509651,0.999981658505067,0.643673947725155
ABCA5,0.914313617687508,0.398205336547651,0.858382119872743,0.5832454128682,0.858382119872743,0.5832454128682,0.999981658505067,1.81300401482069
ABCB1,0.65445579676306,0.776389937891338,1.69838429663838,0.000392853826186,0.65445579676306,0.776389937891338,0.999981658505067,1.57402209963805
ABCB4,1.89812645529628,0.078284992906785,1.86812199756117,6.82018309166112E-06,1.89812645529628,0.078284992906785,0.999981658505067,3.72728840767715
ABCB5,1.31854267176025,0.28422262931213,0.72235445643237,0.920746249258978,0.72235445643237,0.920746249258978,0.999981658505067,1.64987240536576
ABCB6,0.221031625595707,0.84393782706031,0.20350320909276,0.573795352553007,0.221031625595707,0.84393782706031,0.999981658505067,1.16556674846757
ABCB7,0.540711128289608,0.652874796537887,0.909870966968687,0.013725844573784,0.540711128289608,0.652874796537887,0.999981658505067,1.45468938112742
ABCB8,0.750404437725869,0.557854382019715,1.34427847060769,0.005939299027033,0.750404437725869,0.557854382019715,0.999981658505067,1.68226436177116
ABCB9,-1.30085509672022,0.215026202699009,-1.30910669846676,5.97060682838126E-06,-1.30085509672022,0.215026202699009,0.999981658505067,0.405885555302397
ABCC1,-0.130870223270072,0.849534484074773,-0.142465575141792,0.646720207138505,-0.130870223270072,0.849534484074773,0.999981658505067,0.913280399884137
ABCC10,-0.881452828806449,0.172512577508555,-0.896743542866861,0.032531524776927,-0.881452828806449,0.172512577508555,0.999981658505067,0.542820522536508
ABCC4,-1.48030172398489,0.061309593500353,-1.49010920195618,1.33817077097021E-05,-1.48030172398489,0.061309593500353,0.999981658505067,0.358413845805359
ABCC5,-0.948078589959714,0.194116564509822,-0.967474716933139,0.028839433774609,-0.948078589959714,0.194116564509822,0.999981658505067,0.518322314439047
ABCC6,-0.471153337502948,0.607574464447185,-0.486034814258787,0.944616162027333,-0.486034814258787,0.944616162027333,0.999981658505067,0.713984760179004
ABCC9,0.923563042670136,0.085443263280787,0.928476774075772,0.266355960877167,0.928476774075772,0.266355960877167,0.999981658505067,1.90326542963765
ABCD1,0.180690735812071,0.893274310559312,0.120430275275323,0.862795482948837,0.180690735812071,0.893274310559312,0.999981658505067,1.13342641910032
ABCD3,0.269964525893652,0.706865496809594,0.256917254614312,0.400803455156816,0.269964525893652,0.706865496809594,0.999981658505067,1.20577817871574
ABCD4,-0.553242363656818,0.377951728501277,-0.568265016720626,0.146359294721459,-0.553242363656818,0.377951728501277,0.999981658505067,0.681486808543782
ABCE1,-0.124801121510259,0.756692463479685,-0.133410434314524,0.669402279444605,-0.124801121510259,0.756692463479685,0.999981658505067,0.917130462818527
ABCF1,0.289716750367972,0.388914898261463,0.284840224672215,0.264058699461566,0.289716750367972,0.388914898261463,0.999981658505067,1.22240025578531
ABCF2,-0.968874070548821,0.078998559199292,-0.979198767317243,0.001516293212694,-0.968874070548821,0.078998559199292,0.999981658505067,0.510904635072804
ABCF3,-0.771392438127704,0.184627348946158,-0.781759667399685,0.009679555771078,-0.771392438127704,0.184627348946158,0.999981658505067,0.5858517582993
ABHD10,-0.311652448760867,0.756100367088912,-0.322497972969267,0.320988187099618,-0.311652448760867,0.756100367088912,0.999981658505067,0.805718368578761
ABHD11,0.208187725471669,0.732557050085653,0.190241224342132,0.664409240201426,0.208187725471669,0.732557050085653,0.999981658505067,1.15523609569065
ABHD12,0.801755117481777,0.063309108472156,0.7911635343722,0.038213914631133,0.801755117481777,0.063309108472156,0.999981658505067,1.74322056035245
ABHD13,1.47595214753629,0.392913751672201,6.20565312490072,5.49701246455961E-23,1.47595214753629,0.392913751672201,0.999981658505067,2.78167167717743
ABHD14A,0.775644615489531,0.216729166369946,0.752375150903327,0.149258739786587,0.775644615489531,0.216729166369946,0.999981658505067,1.71195480486403
ABHD14B,-0.227876638163707,0.81331841414439,-0.246190064519758,0.528195107069774,-0.227876638163707,0.81331841414439,0.999981658505067,0.853890725680159
ABHD15,0.9643233457105,0.327750320903602,0.903696157080433,0.320804988895949,0.9643233457105,0.327750320903602,0.999981658505067,1.95114817741676
ABHD16A,2.14415708360749,2.55466026406946E-05,2.12495328954596,5.4782636293896E-08,2.14415708360749,2.55466026406946E-05,0.010152409123506,4.42033920863573
ABHD17A,0.129760011159492,0.860341427744445,0.096378247222692,0.895283867262562,0.096378247222692,0.895283867262562,0.999981658505067,1.06908624856775
ABHD17B,-0.703405571647805,0.236914648914998,-0.718528959274937,0.067238946339246,-0.703405571647805,0.236914648914998,0.999981658505067,0.614120823789476
ABHD2,-0.408058753307761,0.131848543189168,-0.410545823856686,0.113272277788143,-0.408058753307761,0.131848543189168,0.999981658505067,0.753636762530986
ABHD4,-0.939904708691301,0.426135495804699,-0.963587824052923,0.079035340751033,-0.939904708691301,0.426135495804699,0.999981658505067,0.521267309459464
ABHD5,-1.50166080186547,0.163835132575284,-1.51601517802164,0.000457182096741,-1.50166080186547,0.163835132575284,0.999981658505067,0.353146621132327
ABHD8,-0.503155041210839,0.306628166115875,-0.507523935720835,0.366094532825007,-0.507523935720835,0.366094532825007,0.999981658505067,0.703428680897205
ABI1,-0.216455475674819,0.520436871671166,-0.217756472743969,0.461099450457202,-0.216455475674819,0.520436871671166,0.999981658505067,0.86067741952697
ABI2,0.180107304461996,0.580804784049549,0.176624583031205,0.613862055394663,0.176624583031205,0.613862055394663,0.999981658505067,1.1302364196227
ABI3BP,-2.76668385463496,0.099597823856428,-2.85757301792772,0.107018572563655,-2.85757301792772,0.107018572563655,0.999981658505067,0.137970045273679
ABL1,-0.649008265012071,0.084124843784087,-0.655382263331388,0.030503718240668,-0.649008265012071,0.084124843784087,0.999981658505067,0.637718542422299
ABL2,0.178653840589802,0.650106322247482,0.17076867546731,0.630180589400698,0.178653840589802,0.650106322247482,0.999981658505067,1.13182729954301
ABLIM1,0.113435236802196,0.956781445946748,0.02990688826348,0.97279880763193,0.02990688826348,0.97279880763193,0.999981658505067,1.02094623157049
ABLIM3,1.16722048864772,0.037789205528519,1.14791096022885,0.019345425075141,1.16722048864772,0.037789205528519,0.955703238511826,2.24578604383742
ABR,0.551429889906511,0.116077181467004,0.54420883209437,0.096911974845368,0.551429889906511,0.116077181467004,0.999981658505067,1.46553750599026
ABRACL,-0.472751357008498,0.5784161768562,-0.487165925270342,0.177212012117662,-0.472751357008498,0.5784161768562,0.999981658505067,0.720589054494707
ABT1,-0.606075906394294,0.331780577466239,-0.621420093113185,0.125531577928242,-0.606075906394294,0.331780577466239,0.999981658505067,0.65698124605485
ABTB2,0.368185688283007,0.288551572767652,0.362357569649785,0.340945704328626,0.362357569649785,0.340945704328626,0.999981658505067,1.28552491327447
ACAA1,-0.105179749687814,0.893353458665567,-0.120806540071715,0.703070186300675,-0.105179749687814,0.893353458665567,0.999981658505067,0.929689102652455
ACAA2,-1.88480972471109,0.025871580382827,-1.89397966153251,5.94887246449128E-08,-1.88480972471109,0.025871580382827,0.866682391129809,0.270779471800723
ACACA,0.105921148031084,0.782240970144549,0.09823409808719,0.765482174106575,0.105921148031084,0.782240970144549,0.999981658505067,1.07618130338957
ACACB,0.224856027529583,0.824405722153203,0.134330811591933,0.909737552477803,0.134330811591933,0.909737552477803,0.999981658505067,1.09758358587452
ACAD10,-0.405298337058277,0.745163472755603,-0.442552151512063,0.458395342810359,-0.405298337058277,0.745163472755603,0.999981658505067,0.755080132489388
ACAD11,-0.848119277698254,0.102466654944978,-0.861159061043963,0.060308666104462,-0.848119277698254,0.102466654944978,0.999981658505067,0.555508434657919
ACAD8,-0.572154574020111,0.621261427737968,-0.063070667337835,0.882699809444358,-0.063070667337835,0.882699809444358,0.999981658505067,0.957224569444138
ACAD9,0.420399239979375,0.749878620823083,0.410293341822386,0.160620836324498,0.420399239979375,0.749878620823083,0.999981658505067,1.338297853477
ACADM,0.245026303034347,0.761710168969624,0.233540057527529,0.424844126771842,0.245026303034347,0.761710168969624,0.999981658505067,1.18511437760074
ACADSB,-0.209306464997624,0.544997527417344,-0.211816657742191,0.569295405858502,-0.211816657742191,0.569295405858502,0.999981658505067,0.863449281473325
ACADVL,-0.60534340343538,0.036031127517818,-0.608732342014325,0.016082022475483,-0.60534340343538,0.036031127517818,0.955703238511826,0.657314901390498
ACAN,-1.30278210705889,0.944282532246717,-1.59480467976297,0.693397871823602,-1.30278210705889,0.944282532246717,0.999981658505067,0.405343775151328
ACAP1,-0.775634043840688,0.813645480562564,-0.817520294946092,0.707214121938683,-0.775634043840688,0.813645480562564,0.999981658505067,0.584131850265089
ACAP2,0.269774027049003,0.628646634436625,0.259762883866475,0.366319284556429,0.269774027049003,0.628646634436625,0.999981658505067,1.20561897377019
ACAP3,0.120251433322309,0.938648932910093,0.092071629962486,0.83159131576519,0.120251433322309,0.938648932910093,0.999981658505067,1.08692427550724
ACAT1,-0.190988875255458,0.724236458290752,-0.200956496768574,0.504754324492985,-0.190988875255458,0.724236458290752,0.999981658505067,0.876005069990912
ACAT2,0.442025428172051,0.140848617519497,0.441700847918936,0.099075190808302,0.442025428172051,0.140848617519497,0.999981658505067,1.35851022871346
ACBD3,-0.459068839426074,0.392093528348611,-0.468586645640485,0.137532831224526,-0.459068839426074,0.392093528348611,0.999981658505067,0.727455629822536
ACBD4,-0.662562218006071,0.44518241220601,-0.689197897854527,0.443656584828983,-0.662562218006071,0.44518241220601,0.999981658505067,0.63175530631631
ACBD5,-0.570130888869374,0.245133738799849,-0.580436001578196,0.10003471965042,-0.570130888869374,0.245133738799849,0.999981658505067,0.673555677152999
ACBD6,0.61904640954419,0.637009747479423,1.13321860512573,0.032141736607719,0.61904640954419,0.637009747479423,0.999981658505067,1.53585967543165
ACBD7,-0.914531873464144,0.707130565307844,-0.922132648855452,0.642303311764884,-0.914531873464144,0.707130565307844,0.999981658505067,0.530515984897712
ACD,-0.262761862979051,0.650261734010874,-0.271852901630371,0.325582321012491,-0.262761862979051,0.650261734010874,0.999981658505067,0.833490775130334
ACHE,-1.14584690869277,0.916355598962019,-1.33834216701603,0.722728709601955,-1.14584690869277,0.916355598962019,0.999981658505067,0.451924316693304
ACIN1,-0.004324791435532,0.987988609012324,-0.005405989218494,0.982104630025338,-0.004324791435532,0.987988609012324,0.999981658505067,0.997006771677156
ACLY,0.448428331042259,0.165851608401469,0.44359303458069,0.075133598385382,0.448428331042259,0.165851608401469,0.999981658505067,1.36455290566372
ACMSD,5.92589767726472,0.000384620106355,1.33267527979605,0.853109144747844,1.33267527979605,0.853109144747844,0.999981658505067,2.51869299145844
ACO1,-0.400612890548318,0.352042180592809,-0.409022885645542,0.179291488057299,-0.400612890548318,0.352042180592809,0.999981658505067,0.757536395733778
ACO2,-0.236465475268802,0.422433531769053,-0.236518954509187,0.467648089345512,-0.236518954509187,0.467648089345512,0.999981658505067,0.848790871387864
ACOT1,-1.5411259160901,0.002007864623497,-1.54996231615043,0.000132231950534,-1.5411259160901,0.002007864623497,0.26669677228017,0.343617182232233
ACOT13,0.605103356159548,0.404232623978833,0.60826731414514,0.29408492710045,0.605103356159548,0.404232623978833,0.999981658505067,1.52108772162965
ACOT2,-0.681601978951908,0.035812747175742,-0.682996734505087,0.04864694358285,-0.682996734505087,0.04864694358285,0.998554668919561,0.62287011763009
ACOT7,-0.47134012575094,0.369336840672094,-0.478146298817719,0.071729768260241,-0.47134012575094,0.369336840672094,0.999981658505067,0.721294273061929
ACOT8,0.211735859497349,0.509114478163791,0.209945182858814,0.602188794613109,0.209945182858814,0.602188794613109,0.999981658505067,1.1566442348148
ACOT9,0.288972316713799,0.707060087203121,0.277470978731282,0.352468923995067,0.288972316713799,0.707060087203121,0.999981658505067,1.22176965740937
ACOX1,-0.527687275777093,0.091049153128267,-0.530178809750173,0.08842705237638,-0.527687275777093,0.091049153128267,0.999981658505067,0.693665829990274
ACOX2,-0.235683749976857,0.809646268688982,0.287588947174227,0.406240453059073,-0.235683749976857,0.809646268688982,0.999981658505067,0.849282395379015
