,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
A1BG,-0.35069362190096,0.347313827898232,-0.349504772867884,0.487542950669914,-0.349504772867884,0.487542950669914,0.769737728757018
AAAS,-0.926449099931045,2.0125509840647E-05,-0.925984791262793,0.001258265185981,-0.925984791262793,0.001258265185981,0.018543917391553
AACS,-0.800745340745704,0.016440664885364,-0.785702831368917,0.073906087250546,-0.785702831368917,0.073906087250546,0.277766218199766
AAED1,0.469752730302726,0.106600311635464,0.473188428790182,0.265542353567469,0.473188428790182,0.265542353567469,0.57093607249998
AAGAB,-0.268506052822478,0.186595141296165,-0.268088683304179,0.291270987297988,-0.268088683304179,0.291270987297988,0.598545363771908
AAMP,-1.18226917586357,5.04579655966788E-09,-1.18181890857126,1.8068622282157E-05,-1.18181890857126,1.8068622282157E-05,0.000812835294693
AAR2,-1.2925051213339,8.06057931187057E-11,-1.29202848909323,9.07408617859948E-06,-1.29202848909323,9.07408617859948E-06,0.000486446636558
AARS,-0.862122308597182,0.023862302495058,-0.862115953965653,0.088270172739739,-0.862115953965653,0.088270172739739,0.307024612724921
AARS2,-0.210927262076988,0.302770579688684,-0.209721897577908,0.39969316386396,-0.209721897577908,0.39969316386396,0.704967696374579
AASDH,0.929847448897649,0.000283550243877,0.901357935046681,0.008332314967282,0.901357935046681,0.008332314967282,0.068456182909549
AASDHPPT,0.314257422226688,0.078073319091263,0.314703132541088,0.199604883850779,0.314703132541088,0.199604883850779,0.489165035356975
AATF,-0.515489317960785,0.000200995398066,-0.515349308031606,0.001735100230583,-0.515349308031606,0.001735100230583,0.023131464609194
ABAT,-0.611297525478881,0.112667077574678,-0.605392531785808,0.246653867406386,-0.605392531785808,0.246653867406386,0.549705293270493
ABCA5,2.18836281109541,1.89482204641796E-12,2.12327900281175,3.5101964109691E-05,2.12327900281175,3.5101964109691E-05,0.001305265520911
ABCA6,0.853092635301752,0.104608347410862,0.845582292340625,0.264444036239166,0.845582292340625,0.264444036239166,0.569524099473235
ABCA7,0.142878814999295,0.635610478586094,0.143869332198024,0.8239838019955,0.143869332198024,0.8239838019955,0.952790417950359
ABCB10,0.924934483658311,0.049608896805336,0.92447469669718,0.234054508952241,0.92447469669718,0.234054508952241,0.534684892077331
ABCB6,0.04859516346271,0.861796513906164,0.051855777568288,0.922726513873988,0.051855777568288,0.922726513873988,0.98693152610381
ABCB7,-0.057136260515895,0.850531493401687,-0.056564168504321,0.857141874305445,-0.056564168504321,0.857141874305445,0.96668865617213
ABCB8,-0.260951865129327,0.213315034183171,-0.259957039033764,0.40429126223361,-0.259957039033764,0.40429126223361,0.707991204559361
ABCC1,-0.634189502256165,0.002510499524787,-0.633595859936678,0.023163481181278,-0.633595859936678,0.023163481181278,0.1334453527518
ABCC10,-0.254180129785577,0.305243832163227,-0.253478955871319,0.497948154344365,-0.253478955871319,0.497948154344365,0.778402735470457
ABCC4,0.418061193157727,0.094211967613016,0.418397227310203,0.288626688741632,0.418397227310203,0.288626688741632,0.595775866733488
ABCC5,0.161544302698484,0.495644963318162,0.165136946032132,0.654155695551901,0.165136946032132,0.654155695551901,0.874566672315683
ABCD2,1.35206103666685,1.12372359134223E-06,1.3262821688191,8.18356642869285E-05,1.3262821688191,8.18356642869285E-05,0.002578362932584
ABCD3,0.543332516238281,0.031660979123243,0.542827497940873,0.202572789203636,0.542827497940873,0.202572789203636,0.492459472408923
ABCD4,0.16845915713296,0.272839975511844,0.16940380832451,0.508452926806805,0.16940380832451,0.508452926806805,0.78503506519048
ABCE1,0.681748026341212,0.001940650206672,0.656941778902859,0.039413749234207,0.656941778902859,0.039413749234207,0.188022728085764
ABCF1,-0.3575992294273,0.048942884027347,-0.357304201788247,0.182846758835731,-0.357304201788247,0.182846758835731,0.466212128256146
ABCF2,-0.779472551472645,0.000956637333644,-0.777474996868351,0.020587726670511,-0.777474996868351,0.020587726670511,0.123455246055397
ABCF3,-1.01717890690297,4.56796486931819E-10,-1.01688847398579,3.85157421561197E-06,-1.01688847398579,3.85157421561197E-06,0.000265090352186
ABCG1,-0.676352395730432,0.110819656223293,-0.641650599250636,0.218298993391658,-0.641650599250636,0.218298993391658,0.513461581165826
ABHD10,-0.570132250650311,0.030890025985511,-0.569727732417935,0.169257889414764,-0.569727732417935,0.169257889414764,0.446021269961574
ABHD12,0.119455238004723,0.638045960908199,0.121172412046021,0.721194588717699,0.121172412046021,0.721194588717699,0.906938674464072
ABHD14B,-0.548804048525237,0.035666148929825,-0.548463442243485,0.14466863266227,-0.548463442243485,0.14466863266227,0.408808835456352
ABHD15,-0.046029776619007,0.831109331838806,-0.044700839393741,0.878351460841513,-0.044700839393741,0.878351460841513,0.97341527684889
ABHD16A,-0.311723402755116,0.067662907015885,-0.310507118234889,0.154675562205055,-0.310507118234889,0.154675562205055,0.42310663616087
ABHD17B,0.135061491043007,0.716244625820174,0.136511349664197,0.862922535554529,0.136511349664197,0.862922535554529,0.96777905704712
ABHD17C,0.525469391353729,0.11110583965708,0.528823291363588,0.273408315246214,0.528823291363588,0.273408315246214,0.579804085043315
ABHD2,-0.607583661229026,0.001313649968387,-0.606656286151844,0.045422836909479,-0.606656286151844,0.045422836909479,0.205416597426137
ABHD3,0.007694089907709,0.959951763658801,0.007595723253939,0.99267586740475,0.007595723253939,0.99267586740475,0.999899522891475
ABHD4,-0.241526276616226,0.548976895378073,-0.241152965047611,0.611882686176883,-0.241152965047611,0.611882686176883,0.850599635686033
ABHD5,0.792922879886129,0.000634424680791,0.737886955572635,0.07457766606561,0.737886955572635,0.07457766606561,0.279091405351988
ABHD6,-0.32737518527333,0.489210683113128,-0.32635828671892,0.577655703677426,-0.32635828671892,0.577655703677426,0.828675650865497
ABHD8,0.466272841146127,0.04428473682626,0.468490758359955,0.226874502029114,0.468490758359955,0.226874502029114,0.524333993732096
ABI1,0.252081395905643,0.163622467627787,0.252337190003652,0.3177227909826,0.252337190003652,0.3177227909826,0.625941407593503
ABI2,1.39746492828571,3.76908000014481E-07,1.40284644152504,0.000743886066671,1.40284644152504,0.000743886066671,0.0128295417343
ABL1,-0.229143967903971,0.50882560222852,-0.227433519790061,0.615112058047918,-0.227433519790061,0.615112058047918,0.852988978103526
ABL2,-0.205729599831677,0.367811932521056,-0.205301352302074,0.549860987821303,-0.205301352302074,0.549860987821303,0.812915874576071
ABLIM1,0.329800045392076,0.333299512889408,0.330840413802664,0.55449980436767,0.330840413802664,0.55449980436767,0.815616152165822
ABR,-0.71578663101204,0.001044146070425,-0.715025155223467,0.019363424715495,-0.715025155223467,0.019363424715495,0.118802967281623
ABRACL,-0.111367747316323,0.750820357122684,-0.110945972033535,0.79980689604497,-0.110945972033535,0.79980689604497,0.944325550565714
ABT1,-0.107702085805456,0.554310700977835,-0.10760239765123,0.703973459382148,-0.10760239765123,0.703973459382148,0.897604617326947
ABTB1,0.024417645874651,0.923363446141841,0.025157926856109,0.993577964070331,0.025157926856109,0.993577964070331,0.999899522891475
ABTB2,-0.866762591287866,0.068784251014512,-0.866069108655557,0.130447209943974,-0.866069108655557,0.130447209943974,0.383043909374218
ACAA1,-0.171237785297826,0.291373319528958,-0.170661122561136,0.412803606649396,-0.170661122561136,0.412803606649396,0.71414968443608
ACAA2,-0.563322749408839,0.00883524788801,-0.562462812275035,0.065469846343884,-0.562462812275035,0.065469846343884,0.258412182085755
